WL(nm),Nikon D700 Red,Nikon D700 Green,Nikon D700 Blue
400,0,0,0
410,0,0,0
420,1,0.8,0
430,2,1.5,18.5
440,3,2.5,43
450,2.5,2.8,39
460,1.5,2.8,59
470,0.5,2.8,80
480,0,3,80
490,0,4.2,61
500,0,8,42
510,0,14,23
520,0,25,5
530,0,42,0
540,0,55,0
550,0,63,0
560,60,63,0
570,100,57,0
580,97,45,0
590,80,33,2.5
600,63,15,2.7
610,48,7,2.8
620,36,3.5,2.8
630,20,2.5,2.8
640,20,2,2.7
650,8,1.5,1.5
660,3,1,0.8
670,0.5,0.5,0.2
680,0,0,0
690,0,0,0
700,0,0,0
