WL(nm),WV2 Pan,WV2 Coastal Blue,WV2 Blue,WV2 Green,WV2 Yellow,WV2 Red,WV2 RedEdge,WV2 NIR1,WV2 NIR2
520,630.712,0.001,5.7341,779.389,0.0001,0.0002,0.0002,0.0003,0.0004
522.5,649.153,0.0007,2.9735,788.811,0.0002,0.0002,0.0001,0.0004,0.0002
525,671.541,0.0009,1.656,806.85,0.0004,0.0001,0.0001,0.0002,0.0002
527.5,663.704,0.0012,0.9803,828.035,0.0003,0,0.0001,0.0001,0.0027
530,654.733,0.0036,0.6049,840.756,0.0005,0.0002,0.0002,0.0001,0.0088
532.5,672.532,0.0013,0.3915,842.039,0.0002,0,0.0001,0,0.0007
535,693.098,0.0004,0.2592,844.305,0.0002,0,0.0002,0,0.0004
537.5,691.335,0.0005,0.1681,846.857,0.0002,0,0.0002,0,0.004
540,688.237,0.0003,0.1089,850.335,0.0001,0.0001,0.0001,0,0.0047
542.5,678.29,0.0005,0.0763,859.723,0.0004,0.0001,0.0001,0,0.0001
545,664.973,0.0004,0.0514,863.516,0.0004,0.0001,0.0001,0.0001,0.0003
547.5,683.323,0.0126,0.052,869.143,0.0038,0.0001,0,0.0001,0.0021
550,701.56,0.1417,0.0667,882.571,0.007,0.0001,0,0,0.001
552.5,705.992,0.0024,0.0623,900.72,0.0062,0,0.0001,0.0001,0.0001
555,713.576,0.0003,0.0607,924.469,0.0044,0.0001,0.0002,0.0001,0.0002
557.5,709.848,0.0003,0.0594,942.168,0.0049,0.0002,0.0001,0.0002,0.0001
560,709.786,0.0005,0.0626,962.285,0.0038,0.0001,0.0004,0.0001,0.0001
562.5,738.422,0.0005,0.0549,976.601,0.0111,0.0001,0.002,0,0
565,765.752,0.0003,0.0587,985.726,0.0267,0.0001,0.0021,0.0001,0
567.5,762.756,0.0003,0.0488,994.764,0.0575,0.0001,0.0008,0.0001,0
570,757.827,0.0001,0.0494,1000,0.1271,0.0002,0.0009,0,0
572.5,759.162,0,0.0415,993.053,0.3445,0.0001,0.002,0,0
575,759.818,0.0002,0.031,979.121,0.895,0.0001,0.0031,0.0001,0
577.5,779.983,0.0016,0.0297,907.745,2.2247,0.0003,0.0031,0,0.0001
580,794.085,0.0017,0.0174,664.04,5.8789,0.0002,0.0045,0,0.0013
582.5,797.935,0.0004,0.0175,301.436,26.5572,0.0004,0.0067,0,0.0001
585,800.715,0.0001,0.0143,92.9241,134.652,0.0005,0.0061,0,0.0003
587.5,811.351,0.0001,0.0109,25.2385,389.22,0.0006,0.005,0.0001,0.0002
590,819.29,0.0005,0.0128,5.5627,663.55,0.0008,0.0071,0.0001,0.0002
592.5,820.814,0.0029,0.0092,2.4767,848.198,0.0009,0.0113,0,0.0005
