wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge
430.0,0.15039743,2.4879153e-05,1.905803e-08,3.2188154e-08,2.0905196e-08,9.865181e-07
434.0,0.15547384,0.0001198858,3.0137095e-08,4.2917538e-08,1.6389674e-08,2.0485866e-06
438.0,0.15912451,0.0005044858,1.731316e-08,4.602999e-08,1.466151e-08,3.261388e-08
442.0,0.16030955,0.0047638575,1.731316e-08,4.954176e-07,1.466151e-08,2.1895537e-06
446.0,0.16105793,0.025319828,2.952724e-08,2.4921286e-07,2.296784e-08,1.15330565e-07
450.0,0.13851301,0.051688023,3.811606e-08,5.3646925e-08,2.0905196e-08,2.0340579e-08
454.0,0.064407945,0.0569185,3.3999523e-08,3.9140797e-08,2.0905196e-08,1.7330175e-08
458.0,0.009733133,0.058334105,3.971498e-08,3.6651578e-08,2.2703043e-08,2.0340579e-08
462.0,0.00030902587,0.059085146,2.4699975e-07,6.6865525e-08,2.2960872e-07,2.0340579e-08
466.0,3.9713956e-05,0.060059495,6.6235543e-07,5.3646925e-08,4.7114337e-08,1.6760636e-08
470.0,1.1548969e-05,0.060910787,8.9572734e-07,4.2917538e-08,8.362078e-08,1.01702895e-08
474.0,3.002259e-06,0.06170576,1.1667942e-06,7.510569e-08,1.05897364e-07,6.7379624e-08
478.0,1.4257787e-06,0.06390317,1.3631844e-06,7.510569e-08,5.920351e-08,1.6443325e-07
482.0,1.7137891e-06,0.064675696,1.6225654e-06,7.510569e-08,8.5516184e-08,4.5893205e-07
486.0,1.7737332e-06,0.06493861,2.4435374e-06,7.132895e-08,9.178775e-08,1.2388325e-06
490.0,1.4760622e-06,0.06692271,4.218177e-06,7.510569e-08,2.0208356e-07,3.966413e-07
494.0,1.8256055e-06,0.069465525,1.6808288e-05,4.1973355e-08,1.775548e-07,1.2419787e-06
498.0,8.441528e-07,0.072439075,8.7405315e-05,4.0685823e-08,1.4198808e-07,8.280884e-07
502.0,2.2539955e-07,0.072685935,0.0005564624,3.10723e-08,1.5447546e-07,1.4235151e-07
506.0,1.200963e-07,0.05649444,0.004272413,2.1458769e-08,3.2428932e-08,3.4331643e-07
510.0,1.1354324e-07,0.021946525,0.022330293,2.1458769e-08,2.0905196e-08,2.0340579e-08
514.0,1.4598416e-07,0.0054056146,0.043777738,1.4506127e-08,1.3936797e-08,1.3750231e-08
518.0,1.7751674e-07,0.0010874436,0.048590902,2.9956443e-08,1.3936797e-08,1.1228e-08
522.0,1.17825444e-07,0.00024659964,0.049973473,1.8511765e-08,1.3936797e-08,1.1228e-08
526.0,1.6041389e-07,9.850324e-05,0.0518116,3.9140797e-08,3.5120726e-09,1.01702895e-08
530.0,5.8393664e-07,4.4604032e-05,0.053410504,5.3646925e-08,1.3936797e-08,2.0340579e-08
534.0,9.6122456e-08,2.2536278e-05,0.05357332,2.1458769e-08,0.0,1.6760636e-08
538.0,7.772846e-08,1.13632095e-05,0.05383468,2.0342911e-08,7.2471346e-10,1.9282869e-08
542.0,7.772846e-08,6.0434763e-06,0.05451978,3.956997e-08,6.9683983e-09,1.01702895e-08
546.0,4.1431045e-07,3.7975378e-06,0.05497529,1.3736734e-07,6.9683983e-09,6.590348e-09
550.0,2.2984395e-05,4.918315e-06,0.05606688,7.510569e-07,6.9683983e-09,0.0
554.0,1.0413344e-07,4.5160373e-06,0.058137394,5.286648e-07,3.5120726e-09,1.7736983e-08
558.0,5.2035247e-08,4.4045687e-06,0.06010491,5.134654e-07,1.3212082e-08,1.1699044e-08
562.0,8.1102314e-08,4.1072576e-06,0.06188909,9.729117e-07,6.9683983e-09,1.8567638e-07
566.0,4.866139e-08,4.0714503e-06,0.06286472,3.908116e-06,6.9683983e-09,1.6703683e-07
570.0,1.6220461e-08,3.6426504e-06,0.063526765,1.3637048e-05,1.3936797e-08,9.1532605e-08
574.0,1.28466064e-08,2.5191498e-06,0.06266865,6.641739e-05,6.9683983e-09,2.8663945e-07
578.0,2.6508994e-07,2.0734947e-06,0.05575074,0.00028492673,2.0180483e-08,3.2451814e-07
582.0,9.693348e-08,1.2896458e-06,0.023105288,0.002163238,2.5234892e-08,6.6370853e-07
586.0,1.6220461e-08,9.311938e-07,0.003640677,0.023686256,3.7406362e-08,5.696367e-07
590.0,8.1102314e-08,9.4384455e-07,0.0003533803,0.07119483,5.5747186e-08,7.220906e-07
594.0,6.684647e-07,6.4243795e-07,9.8211756e-05,0.09497658,7.421201e-08,1.3095159e-06
598.0,3.8750406e-07,6.699527e-07,2.756991e-05,0.09903442,6.9006455e-07,1.7381327e-06
602.0,2.6393937e-07,6.195094e-07,7.833125e-06,0.100725256,1.6504865e-06,3.3556232e-06
606.0,2.1377274e-07,6.2730265e-07,2.5936663e-06,0.1018276,3.5182054e-06,3.896297e-06
610.0,3.7307066e-07,5.9727665e-07,4.3833464e-07,0.10369006,8.564161e-06,5.471616e-06
614.0,7.471476e-07,5.935851e-07,1.4829882e-07,0.105921574,3.1005595e-05,8.79837e-06
618.0,1.8679485e-06,5.370476e-07,2.8968204e-08,0.106650785,0.00013990898,7.792131e-06
622.0,1.0238147e-06,4.7297942e-07,1.08656174e-07,0.105083264,0.0012123233,1.6688053e-05
626.0,5.7855146e-07,4.2113163e-07,4.5470316e-07,0.068577126,0.011001558,1.4663308e-05
630.0,4.379525e-07,3.09699e-07,9.656068e-07,0.014411924,0.0415366,8.949855e-07
634.0,4.3976917e-07,2.867518e-07,1.3551787e-06,0.0014150931,0.059930522,3.3534906e-07
638.0,4.2549516e-07,2.6817892e-07,2.048184e-06,0.00019227841,0.062100407,1.4181452e-07
642.0,4.379525e-07,2.7253512e-07,1.7447353e-06,3.5572673e-05,0.066345625,7.412107e-08
646.0,3.764445e-07,2.6463044e-07,1.3371882e-06,1.3894748e-05,0.06733211,1.8946571e-07
650.0,3.5685017e-07,3.09699e-07,1.2705352e-08,4.7531175e-06,0.06728602,5.0851446e-07
654.0,2.78966e-07,4.1591693e-07,1.04692095e-08,1.7365542e-06,0.066639945,7.48287e-07
658.0,2.9196832e-07,4.4129905e-07,1.3094983e-08,7.3681827e-07,0.06640851,1.107225e-06
662.0,3.2934025e-07,1.1387032e-06,2.9086788e-08,3.8443488e-07,0.06714512,1.1706411e-06
666.0,4.1981156e-07,1.3707516e-06,4.7111445e-08,1.9858365e-07,0.06777206,1.153555e-06
670.0,7.1370033e-07,2.6471891e-06,6.352676e-08,8.5835076e-08,0.06881475,1.1492427e-06
674.0,2.4330452e-06,2.940599e-06,4.136863e-08,9.5448605e-08,0.06958495,8.374702e-07
678.0,2.493006e-06,1.7639866e-06,6.548847e-08,7.73374e-08,0.06901959,9.1878127e-07
682.0,7.157358e-07,1.8725286e-06,4.141945e-08,5.8110345e-08,0.06828775,1.3909233e-06
686.0,7.069527e-07,1.2253353e-06,6.302871e-08,9.1929365e-08,0.056068446,4.689615e-06
690.0,5.8393664e-07,9.2909704e-07,7.623212e-08,6.437631e-08,0.02033539,2.1083011e-05
694.0,8.551696e-07,9.669302e-07,6.205294e-08,6.875389e-08,0.0025597347,0.00018174446
698.0,3.3312097e-06,6.118902e-07,5.2803443e-08,8.174933e-08,0.000316383,0.0027162367
702.0,2.3841067e-06,6.2791145e-07,6.9879434e-08,5.9226203e-08,6.836705e-05,0.029659694
706.0,1.2643851e-06,7.262484e-07,6.037583e-08,9.381773e-08,2.1366432e-05,0.07394644
710.0,1.3787394e-06,5.16165e-07,6.9879434e-08,7.510569e-08,7.0938295e-06,0.09690171
714.0,1.7491727e-06,7.141993e-07,6.037583e-08,1.06177986e-07,2.5458376e-06,0.10021236
718.0,6.455627e-06,9.817669e-07,6.9879434e-08,9.02985e-08,1.084197e-06,0.10064911
722.0,1.5405594e-05,8.865735e-07,6.9879434e-08,1.1913908e-07,1.1518483e-06,0.1016429
726.0,4.4756116e-06,1.2810563e-06,7.023519e-08,1.5476064e-07,9.537786e-07,0.10130082
730.0,4.833698e-06,2.2858735e-06,5.7174084e-08,1.2875262e-07,9.1982855e-07,0.10036174
734.0,8.991442e-06,2.3274029e-06,5.752983e-08,1.3192852e-07,8.0522176e-07,0.09956877
738.0,3.2010303e-05,2.608176e-06,5.1736194e-08,1.3664945e-07,3.7122052e-07,0.094798245
742.0,4.807272e-05,4.3536015e-06,7.531733e-08,9.7165305e-08,2.3475141e-07,0.06778293
746.0,8.23505e-06,4.561176e-06,5.448055e-08,1.1802323e-07,1.01058504e-07,0.02662382
750.0,9.375427e-06,3.0601211e-06,6.9879434e-08,1.0729385e-07,8.362078e-08,0.0031064337
754.0,9.426289e-05,3.4215132e-06,7.5571435e-08,9.2787715e-08,3.389429e-08,0.00034898848
758.0,5.979547e-05,4.722372e-06,6.398415e-08,8.5835076e-08,1.0046817e-07,6.105618e-05
762.0,5.9748613e-06,3.8821986e-06,7.469053e-08,9.54486e-08,3.1345039e-07,1.4104215e-05
766.0,1.7040201e-06,2.387735e-06,8.4465185e-08,8.5835076e-08,6.1434196e-07,4.0821396e-06
770.0,9.732278e-07,2.3596115e-06,1.079955e-07,6.437631e-08,4.6688268e-07,9.763479e-07
774.0,1.0319055e-06,3.199945e-06,2.4769912e-07,5.3646925e-08,5.49946e-07,6.027226e-07
778.0,2.015197e-06,2.7790034e-06,1.5360622e-07,6.6865525e-08,3.457998e-07,3.4619669e-07
782.0,4.835791e-06,1.8575553e-06,6.709423e-08,2.7038048e-08,1.8752239e-07,4.0998472e-07
786.0,1.14356935e-05,1.8856333e-06,4.8341324e-08,5.3561088e-08,7.173352e-08,6.248846e-07
790.0,3.9934777e-05,2.9863834e-06,1.905803e-08,3.2188154e-08,1.5330477e-07,8.4413404e-07
794.0,2.7849188e-05,3.7872376e-06,4.818886e-08,5.8196182e-08,4.3008956e-08,7.8625584e-07
798.0,1.20626655e-05,3.4095797e-06,6.9218764e-08,3.1879148e-07,1.6055537e-07,4.2833642e-07
802.0,2.009852e-05,4.043843e-06,1.5459872e-07,1.7896614e-06,9.750047e-07,2.839545e-08
806.0,2.8885384e-05,4.9433884e-06,3.43468e-08,2.1596964e-06,1.0048988e-06,3.0510872e-08
810.0,2.6552898e-05,6.2529703e-06,0.0,1.2124204e-06,7.386502e-07,2.0340579e-08
814.0,1.6324348e-05,6.9706184e-06,0.0,1.8508952e-06,8.1301226e-07,2.3920522e-08
818.0,1.2673074e-05,5.609266e-06,0.0,2.143057e-06,5.4485156e-07,2.0340579e-08
822.0,1.0272457e-05,3.7771815e-06,0.0,1.1643401e-06,6.2684273e-07,1.1228e-08
826.0,1.1476821e-05,3.5503895e-06,6.9595436e-09,1.7409012e-06,4.4529074e-07,1.7330175e-08
830.0,1.1338103e-05,4.173563e-06,3.2398648e-07,9.978328e-07,7.52587e-07,2.0340579e-08
834.0,1.0637646e-05,4.6979276e-06,1.7545972e-07,1.2468403e-06,4.26466e-07,2.0340579e-08
838.0,7.752603e-06,4.802709e-06,2.762313e-08,1.2279896e-06,4.474269e-07,1.2285709e-08
