wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
595.09,4.8952313e-07,8.17754e-07,8.992903e-05,0.12448875,1.2091326e-07,1.8187151e-06,0.0,3.192964e-08
600.24,1.10857215e-07,7.706291e-07,1.6985534e-05,0.12900262,1.1911302e-06,3.2660162e-06,1.0157377e-08,3.187224e-08
605.4,1.4201376e-07,8.472423e-07,3.954623e-06,0.13112003,3.9805445e-06,4.9654523e-06,7.1616585e-10,2.6870678e-08
610.56,2.6893903e-07,7.9149504e-07,4.733501e-07,0.13416027,1.2910657e-05,7.736014e-06,6.682476e-10,5.9943694e-08
615.72,8.4631336e-07,6.9466466e-07,9.725157e-08,0.13690744,7.344632e-05,1.1250143e-05,1.0481513e-09,1.3894028e-08
620.87,9.480068e-07,7.169491e-07,1.4499605e-07,0.13759477,0.0007527794,1.519934e-05,0.0,2.9348048e-08
626.03,3.8783233e-07,5.444338e-07,5.8813197e-07,0.08785421,0.014377111,1.863301e-05,1.9276685e-09,4.1904233e-08
631.19,3.1450838e-07,3.5601835e-07,1.2800543e-06,0.009779844,0.065047406,7.977602e-07,0.0,3.8918795e-08
636.35,2.768478e-07,3.7967044e-07,2.4887167e-06,0.00053298025,0.07882815,2.5465428e-07,2.9188718e-09,2.4936678e-08
641.5,2.939893e-07,3.277716e-07,2.2812633e-06,5.4460055e-05,0.08488974,1.0510459e-07,3.3784118e-09,2.1340192e-08
646.66,2.3816298e-07,3.195014e-07,1.4835939e-06,1.5844042e-05,0.086738184,2.94817e-07,1.5600218e-08,4.0453255e-08
651.82,2.0662092e-07,4.920949e-07,8.802338e-09,3.7784343e-06,0.08608861,7.8885313e-07,2.6093613e-08,9.164676e-08
656.98,1.947755e-07,5.4184983e-07,1.6364144e-08,1.1480445e-06,0.08541953,1.3365279e-06,2.6650882e-08,6.6830054e-08
662.13,2.232143e-07,1.4921451e-06,3.838671e-08,4.8455496e-07,0.08640723,1.507135e-06,3.6495187e-08,7.686593e-08
667.29,3.194973e-07,1.9974352e-06,6.4658074e-08,2.0172662e-07,0.08754947,1.3801299e-06,4.1958387e-08,3.035208e-10
672.45,1.0004263e-06,4.347905e-06,6.585485e-08,1.3829397e-07,0.08940141,1.1027706e-06,4.1768303e-08,1.06869e-08
677.61,1.763501e-06,2.2720756e-06,8.239322e-08,9.6889394e-08,0.0888899,1.1699749e-06,5.2135988e-08,2.7280278e-08
682.76,4.5797432e-07,2.412413e-06,4.9643425e-08,7.014658e-08,0.0874742,2.1339702e-06,4.6922384e-08,1.0670096e-08
687.92,4.4904706e-07,1.2536987e-06,9.197692e-08,1.2137407e-07,0.05197288,1.1975944e-05,6.392736e-08,2.976903e-08
693.08,4.897938e-07,1.3246184e-06,8.681237e-08,1.169411e-07,0.0056035784,0.0001356688,5.040364e-08,1.2138534e-08
698.24,2.3475343e-06,7.759199e-07,7.06352e-08,1.1034553e-07,0.00036570203,0.0042212335,1.0508582e-07,1.2710476e-08
